127.0.0.1, 2016-03-05 03:34:47, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000794
127.0.0.1, 2016-03-05 03:34:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2016-03-05 03:34:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2016-03-05 03:34:49, POST, /admin/default/index, HTTP/1.1, 303, 0.057826
127.0.0.1, 2016-03-05 03:34:49, GET, /admin/default/site, HTTP/1.1, 200, 0.044278
127.0.0.1, 2016-03-05 03:34:49, POST, /admin/default/check_version, HTTP/1.1, 200, 0.507843
127.0.0.1, 2016-03-05 03:34:50, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.667706
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/default/index, HTTP/1.1, 200, 0.048775
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/jquery.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/css/calendar.css, HTTP/1.1, 200, 0.000449
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/calendar.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/web2py.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/css/web2py.css, HTTP/1.1, 200, 0.001800
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000327
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000334
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000455
